Location,Location_Type,State,Bedroom_Size,Price_2014_01,Price_2014_02,Price_2014_03,Price_2014_04,Price_2014_05,Price_2014_06,Price_2014_07,Price_2014_08,Price_2014_09,Price_2014_10,Price_2014_11,Price_2014_12,Price_2015_01,Price_2015_02,Price_2015_03,Price_2015_04,Price_2015_05,Price_2015_06,Price_2015_07,Price_2015_08,Price_2015_09,Price_2015_10,Price_2015_11,Price_2015_12,Price_2016_01,Price_2016_02,Price_2016_03,Price_2016_04,Price_2016_05,Price_2016_06,Price_2016_07,Price_2016_08,Price_2016_09,Price_2016_10,Price_2016_11,Price_2016_12,Price_2017_01,Price_2017_02,Price_2017_03,Price_2017_04,Price_2017_05,Price_2017_06,Price_2017_07,Price_2017_08,Price_2017_09,Price_2017_10,Price_2017_11,Price_2017_12,Price_2018_01,Price_2018_02,Price_2018_03,Price_2018_04,Price_2018_05,Price_2018_06,Price_2018_07,Price_2018_08,Price_2018_09,Price_2018_10,Price_2018_11,Price_2018_12,Price_2019_01,Price_2019_02,Price_2019_03,Price_2019_04,Price_2019_05,Price_2019_06,Price_2019_07,Price_2019_08,Price_2019_09,Price_2019_10,Price_2019_11,Price_2019_12
"New York, NY",City,NY,Studio,1780,1778,1781,1786,1794,1802,1817,1824,1828,1828,1829,1827,1822,1822,1825,1831,1838,1846,1859,1866,1867,1863,1860,1853,1846,1841,1839,1843,1847,1849,1856,1865,1885,1885,1875,1866,1857,1856,1855,1859,1865,1872,1880,1883,1882,1879,1872,1868,1863,1860,1861,1867,1883,1905,1899,1897,1894,1908,1915,1919,1907,1897,1889,1904,1920,1936,1933,1928,1922,1937,1940,1943
"New York, NY",City,NY,1br,1976,1975,1978,1983,1992,2001,2018,2026,2030,2030,2031,2029,2023,2023,2027,2034,2041,2050,2065,2072,2073,2069,2065,2058,2050,2044,2042,2047,2051,2054,2061,2070,2093,2093,2082,2072,2062,2061,2060,2065,2071,2079,2088,2091,2090,2086,2079,2075,2069,2065,2067,2073,2091,2116,2109,2106,2104,2119,2126,2131,2118,2106,2098,2114,2132,2150,2146,2142,2134,2151,2155,2158
"New York, NY",City,NY,2br,2354,2352,2356,2362,2373,2384,2404,2413,2418,2419,2419,2417,2410,2410,2415,2423,2432,2442,2459,2469,2470,2465,2460,2452,2442,2435,2433,2439,2443,2447,2455,2466,2494,2493,2481,2468,2456,2455,2454,2460,2467,2477,2487,2491,2489,2485,2477,2472,2465,2460,2462,2469,2491,2521,2513,2509,2506,2524,2533,2538,2523,2509,2499,2518,2540,2561,2557,2551,2542,2562,2567,2570
"New York, NY",City,NY,3br,3036,3033,3038,3046,3060,3074,3099,3112,3118,3119,3119,3116,3108,3108,3114,3124,3136,3149,3171,3183,3185,3178,3172,3161,3149,3140,3137,3144,3150,3155,3166,3180,3215,3214,3199,3182,3167,3166,3165,3171,3181,3194,3207,3212,3210,3205,3194,3187,3178,3172,3174,3184,3212,3250,3240,3235,3231,3255,3266,3273,3253,3235,3222,3247,3275,3302,3297,3289,3278,3304,3310,3314
"New York, NY",City,NY,4br,3381,3378,3383,3392,3407,3424,3452,3466,3472,3473,3474,3471,3461,3461,3468,3479,3492,3507,3532,3545,3547,3540,3533,3521,3507,3497,3494,3502,3508,3513,3526,3542,3581,3580,3562,3544,3527,3526,3524,3532,3542,3557,3571,3578,3575,3569,3557,3549,3540,3533,3535,3546,3577,3620,3608,3603,3599,3625,3638,3645,3623,3603,3588,3616,3648,3677,3672,3663,3651,3680,3686,3691
"San Francisco, CA",City,CA,Studio,1776,1777,1787,1794,1804,1816,1858,1900,1935,1935,1938,1947,1950,1958,1957,1958,1968,1982,2010,2019,2022,2021,2012,2000,1983,1981,1976,1976,1978,1980,1980,1973,1964,1955,1949,1942,1942,1950,1957,1958,1957,1966,1979,1988,1995,1986,1970,1952,1948,1969,1984,1984,1986,1986,2001,2010,2016,2011,2005,1999,2001,2006,2013,2010,2009,2011,2024,2029,2028,2023,2008,2000
"San Francisco, CA",City,CA,1br,2183,2184,2196,2205,2218,2232,2283,2335,2378,2379,2381,2393,2397,2406,2405,2406,2418,2436,2470,2481,2485,2484,2473,2458,2437,2434,2429,2429,2431,2433,2433,2425,2414,2402,2395,2386,2386,2396,2405,2406,2405,2416,2432,2443,2452,2441,2422,2399,2395,2420,2438,2438,2441,2440,2459,2470,2478,2472,2464,2457,2459,2465,2474,2471,2469,2471,2488,2494,2492,2486,2468,2458
"San Francisco, CA",City,CA,2br,2742,2744,2759,2770,2786,2804,2868,2933,2988,2988,2992,3006,3011,3023,3022,3023,3038,3061,3103,3117,3123,3121,3107,3088,3062,3058,3051,3051,3054,3057,3057,3046,3033,3018,3008,2998,2998,3010,3021,3023,3021,3035,3055,3069,3080,3067,3042,3014,3008,3041,3063,3063,3067,3066,3089,3103,3113,3106,3095,3086,3089,3096,3108,3104,3102,3104,3126,3133,3131,3123,3101,3088
"San Francisco, CA",City,CA,3br,3689,3692,3712,3727,3748,3773,3859,3947,4020,4021,4025,4045,4052,4067,4066,4068,4087,4118,4175,4194,4201,4199,4180,4155,4120,4114,4105,4105,4109,4112,4112,4098,4081,4061,4048,4033,4034,4050,4065,4067,4065,4083,4110,4130,4144,4126,4093,4055,4047,4091,4122,4122,4126,4125,4156,4175,4188,4178,4164,4152,4156,4166,4182,4176,4174,4176,4205,4215,4213,4202,4172,4155
"San Francisco, CA",City,CA,4br,4387,4390,4414,4432,4457,4487,4589,4693,4781,4781,4786,4810,4818,4836,4835,4837,4860,4897,4965,4988,4996,4993,4971,4941,4899,4892,4882,4882,4886,4890,4890,4873,4852,4829,4813,4796,4796,4815,4833,4836,4834,4855,4888,4911,4928,4906,4867,4822,4813,4865,4901,4901,4907,4905,4941,4965,4980,4968,4952,4938,4942,4954,4973,4966,4963,4966,5001,5012,5010,4996,4961,4941
