,CITY,ST_ABBRV,SIZE RANK,BEDROOMS_HOUSE,MEDIAN HOME VALUE
1,New York, NY,1,1,391567.6667
1,Washington, DC,7,1,312517.6667
2,Atlanta, GA,9,1,201050.3333
3,Boston, MA,10,1,350358.0
5,Seattle, WA,15,1,366461.3333
6,Denver, CO,21,1,250056.6667
7,Columbus, OH,31,1,107595.3333
8,Austin, TX,33,1,258838.3333
9,Raleigh, NC,46,1,173997.6667
10,New York, NY,1,2,340460.0
11,Washington, DC,7,2,331675.0
12,Atlanta, GA,9,2,178565.0
13,Boston, MA,10,2,382498.0
15,Seattle, WA,15,2,414984.0
16,Denver, CO,21,2,342350.0
17,Columbus, OH,32,2,137180.0
18,Austin, TX,34,2,310509.6667
19,Raleigh, NC,46,2,173107.0
20,New York, NY,1,3,419216.0
21,Washington, DC,7,3,393802.0
22,Atlanta, GA,9,3,197951.6667
23,Boston, MA,10,3,457767.6667
24,San Francisco, CA,11,3,1037434.667
25,Seattle, WA,15,3,474697.6667
26,Denver, CO,21,3,417504.6667
27,Columbus, OH,32,3,193777.6667
28,Austin, TX,35,3,297730.0
29,Raleigh, NC,48,3,233197.3333
30,New York, NY,1,4,531048.3333
31,Washington, DC,7,4,541812.3333
32,Atlanta, GA,9,4,289245.0
33,Boston, MA,10,4,616855.0
34,San Francisco, CA,11,4,1283831.6670000001
35,Seattle, WA,15,4,629025.3333
36,Denver, CO,21,4,508156.6667
37,Columbus, OH,32,4,299153.3333
38,Austin, TX,35,4,385677.6667
39,Raleigh, NC,48,4,360349.3333
40,New York, NY,1,5,773842.3333
41,Washington, DC,7,5,701535.6667
42,Atlanta, GA,9,5,418304.6667
43,Boston, MA,10,5,877437.0
44,San Francisco, CA,11,5,1637889.333
45,Seattle, WA,15,5,765862.3333
46,Denver, CO,21,5,613915.0
47,Columbus, OH,32,5,423815.3333
48,Austin, TX,35,5,565322.3333
49,Raleigh, NC,48,5,488970.3333
