RegionID,RegionName,SizeRank,Bedrooms,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
394913,"New York, NY",1,1,358149,357508.5,356229.3333,354550,352614.3333,350951.6667,349137.6667,347468.6667,345805.3333,343684.3333,341044.3333,337396.6667,333411.6667,329782,326918,322568,319437,316029.6667,314271.6667,311457.6667,310051,309821,310231.3333,309713.6667,310382,311205.6667,311346.6667,311168.6667,310844.6667,312265.3333,312920.3333,313167.6667,312888,312102.3333,310462.6667,308693,306819.6667,305645,305386.6667,304283,302580.6667,300543.3333,299498.3333,299443,299087,298169.6667,297398.6667,297051,296455,295230.6667,293083,291856.6667,290586.3333,290221,289989.6667,290509,290906.6667,291720.3333,292562.6667,293736.6667,295107.3333,296281.3333,298289,299798.6667,301280.3333,302338.3333,303736.6667,305443.6667,306537,307775.6667,309357.6667,311245.3333,313031.6667,315087,317517.3333,320037.6667,321746,322605.3333,322838,323953.6667,325401.6667,326957.3333,327902,329581,331887.6667,334047.3333,335339.6667,336423.6667,337785.3333,339448.6667,340970.6667,342451.6667,343771,345321,347305.6667,349268,348486,347252.3333,345651.6667,346725.6667,347861.3333,349400,350607.3333,351471.6667,351907,352446.3333,352952.3333,354073,355658.3333,357399.3333,359136,360786.6667,363241.3333,365553.6667,367959,369741.6667,371920,373696.6667,375752,377730.6667,380313,382969,385559,387809,389596,390309,390068.6667,389568.6667,389651.3333,389957.3333,390496,390716.3333,391361.3333,391769,392695.3333,393503,394520.6667,394871.3333,394932.3333,394494,393802,392635.6667,391567.6667
395209,"Washington, DC",7,1,291137,288738,287365.6667,284298,281404.6667,278098.3333,275494.3333,273882,273093,272311.3333,271171.3333,269152,265462,261814.6667,258699.3333,257624.3333,257188.3333,257317.3333,256958,256330,255586.6667,254930.3333,254520.6667,254665.3333,255527.6667,256416.3333,256816.6667,257490,258604.3333,259635.3333,259796,259732,258979.3333,257746,256163,255707.3333,255982.6667,256483.6667,255903.6667,254874.6667,253931,253504.6667,252863.6667,251858,251031.3333,250649.3333,250668.3333,250048.3333,249580.3333,249172.6667,250217.6667,250987.3333,251889.3333,252833.3333,254531,256072.3333,257202.6667,258627.6667,260152.6667,261801.3333,263112,264365.3333,265845.6667,267447.3333,269705,271820,273455.6667,275157.6667,276700.6667,278333,279661.6667,280784.6667,282103.6667,283210.3333,284216,284535,284121.3333,283474,283557,283578,283645.3333,283178,283179,283082.3333,282700.3333,282733.6667,282843.3333,283009.3333,282875.3333,282887,283073,283081,283199.6667,283621.3333,284009.3333,284405,284969.3333,284839.6667,284635.6667,284251,284457,284469.6667,284406.6667,284389.6667,284589.3333,284951.6667,286081.3333,287521.3333,289129,290825,291368,291449,290535,290302.3333,290544,291038.3333,291848,292483,293114.3333,293383.3333,293532,294490.3333,295534,296324.6667,297005,297681,298562,299042,299440.3333,299911.3333,300272.3333,301059.6667,302090.3333,303282,304742.6667,306043,306902,307152.6667,307085.6667,308105.6667,309610,311297,312517.6667
394347,"Atlanta, GA",9,1,150368,148812,148262.3333,146876.6667,146559.6667,145952.3333,145313.3333,144787.3333,144364.3333,143888.6667,142215,140306,137761.3333,135935.3333,133724.3333,131736.3333,129904.3333,128215.3333,127240.6667,126266.3333,125689.3333,124899.6667,124302.3333,123639.6667,122836.3333,122320.3333,121715.6667,121568,120314.6667,119341.3333,117746,116539.3333,115152.6667,114254.6667,113528,113009,112227,111258.3333,109629.6667,108024.6667,106030,104896.6667,103860.3333,103310.6667,102801,102596,102142,101477.6667,100804.3333,100569.6667,100399.6667,100401,100406.3333,101167.3333,101800,102748.6667,102649,102439.6667,101831,101491.3333,101305,101791.3333,102838.3333,104412,105918.6667,107503.6667,109222.3333,110969.3333,112610.3333,113802.3333,115379,116968,118942,120537.3333,122154,123115.6667,124327,125047,126613.3333,127592.3333,128734.6667,129392.3333,130578.6667,131821.3333,133301.3333,134308.6667,135634.3333,137130,138827.6667,140598,141229.6667,142131.6667,142794.6667,144184.3333,145642.6667,146544,148116.6667,149413,151723.3333,153254.3333,154876.3333,155713.6667,156059,156039.6667,155890.6667,156299.6667,156944,158442.6667,159910,162091.3333,163985.6667,165455.3333,166796.6667,167918.3333,169820,171327,173893.3333,176031.3333,177888.6667,179790.6667,182151.3333,184702.6667,186557.3333,187900,189567.6667,191149,192647,193623.6667,194810.3333,196393,198055.3333,199383,200041,200277,200266.3333,200946.3333,201890,201635,201487,201111.6667,201379.6667,200849.6667,201050.3333
394404,"Boston, MA",10,1,246175,244653.5,244245.3333,242722.3333,241868,240636.6667,239165.3333,237926.3333,236947.6667,236063,234763,232930.6667,231393.3333,229766.6667,227994.3333,226492.6667,225561.3333,225127.6667,225072.3333,225515.3333,226301.6667,227007.6667,227322,227673.3333,228013.6667,228582.6667,228839,229142.6667,229021,229277.3333,228993.3333,228141,226330,224939.6667,223884.3333,223612.3333,223048,222390.3333,220958.3333,219841,218670.6667,218008,217148.6667,216524.6667,215987.6667,215478.6667,215049,214804.6667,214440,214638.6667,215300.6667,216139,216632,216645.6667,217159.3333,217904,218808,220200.6667,221795.6667,223803.3333,224755.6667,226656.3333,228331.6667,230671,232460,234306.6667,236562.6667,239063.6667,241905.3333,244187.3333,245885,246960,247996,249390.3333,251163.6667,253397.3333,254968,256830.6667,258094.3333,259464,260113.3333,260759,261323.6667,263094,265582,267993.6667,269439,269977.3333,271219.3333,272414,274573.3333,276413.6667,278236,279782.3333,281206.3333,282623.3333,284875,286364.3333,288263.3333,289339.3333,291386.3333,292953.3333,294300,295917.6667,298261.6667,300449,303098.3333,304747.3333,306315.3333,307745.6667,310075.3333,312905.6667,315152.6667,317159.3333,319613.3333,321399.3333,323254.6667,324600.3333,326924,328866.6667,331056.3333,333500.6667,336565,338879.6667,340803.6667,342457,343965,344946.3333,345424.3333,346419.6667,347400.6667,348496.6667,349413,349624,349526.6667,349482.3333,349872.3333,350353,350043.3333,349806,349953.6667,350164,350358
395057,"San Francisco, CA",11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415305,419294.5,424844.6667,432160,438601.3333,443249,449414.3333,456514,461265.6667,467291.3333,470747,475358,476904,478350.3333,480916,484039.3333,487585.3333,490911.3333,496025.6667,500865,504063,505570.6667,509419,513966,520555.6667,527418.6667,535242,544404.3333,553965.3333,561904.6667,566748.3333,572054.6667,580475,587657,590683,591866.3333,593111.6667,593972.6667,590798,588592,587890.3333,591487.6667,594895,598364,599984,601527.6667,603831.6667,606085.3333,609248.6667,612720.3333,617748.6667,622722,628571.6667,633461.3333,639440,645162.6667,651715,657180.3333,664787.3333,672266,678757.3333,684644.3333,687818.6667,691959.3333,692247,692219,688651,682150.6667,678899.6667,678111,678923.6667,678791,679720.6667,680380.3333,680268.6667,678179.6667,676590.3333,675667,675409.3333
395078,"Seattle, WA",15,1,262299,262244,261898.3333,260799.6667,259051.3333,257630.3333,256352.3333,254547.3333,252671,250778,249108,246767.3333,244813.3333,242665,240446.6667,236908.6667,233840.6667,230700.3333,228929.6667,227671.6667,227193,227125.6667,227074.3333,226908.6667,226630,226694,226253.6667,226302,226402.3333,225795.6667,223761.3333,220821.3333,218460.6667,216163.3333,213817.6667,211153.3333,208188.6667,205965,203535.6667,201389.3333,197610.3333,194512,191097.3333,188893,186590.6667,184530.3333,182486.3333,180345,178199.6667,176218.3333,175336.6667,176149.6667,177700.6667,180049.6667,182326.3333,184297.3333,186276,188494,190969.3333,193298,194553.3333,195850,197166.3333,199040.3333,201817.6667,204079.3333,207028,209690.3333,212474,214723.6667,216276,217986,220057,221607.6667,222695,223172.6667,223776,225766,227276.6667,228873.3333,229622,231455.6667,233417.6667,235599.6667,237911,239886,242425.6667,244665.3333,248296.3333,251265.3333,254611.3333,258234.6667,261452,264552,267446.3333,270484.3333,272853.6667,274468.6667,276056.3333,278149,281188.6667,284640.3333,287993.3333,290526.3333,292884.6667,295414.6667,298919.6667,303377.3333,307470.3333,311751.3333,315317.3333,320116,324943,330340.6667,335967,341156.6667,345629.6667,348516,349911.6667,352306.6667,357039.3333,364716.6667,372720,378701.3333,381638.3333,381793.6667,380357.6667,379188.3333,379114.6667,378736.6667,377717.3333,376142.6667,375516,374688.6667,374111.3333,372232.6667,369991,367074,365637,365440,365309,365004.3333,366461.3333
394530,"Denver, CO",21,1,133556,133017.5,132460.3333,131401.3333,130358.6667,129668,128879.3333,128409.6667,127719.6667,127416.6667,126675,125838.3333,124373.3333,123387.3333,122856,122999.6667,123489.3333,123868,123870.6667,123597.3333,123421,123574,124000.3333,124383.6667,125148.3333,125295.3333,125332.3333,124566,123385.3333,121929,120606.3333,119713.6667,118620,117512,116736.6667,116301.6667,115897,115400.3333,115051.3333,114977,114970,115015.6667,114784.3333,114762,114727.6667,115203.6667,115379.6667,115248.3333,115202,115192,115768.3333,116291.3333,117186.3333,118195.6667,119513.6667,120512.6667,121654,122357.6667,123107,123855.3333,124989.6667,126345,127574.6667,128693,129972.3333,131309.6667,133050.6667,134789,136250.6667,137296.3333,138147.3333,139271.3333,140213.6667,141058.3333,141623,142620.3333,144195.6667,145733.3333,147018.6667,147961,149178.6667,150569.3333,152234.6667,154237,156627.3333,159078,161370.3333,163472,165187.3333,167014.3333,169369,172104.6667,174976.3333,177547,179945.6667,182168.6667,184235,186309,188001.3333,189635,191149.6667,193028.6667,194969.3333,197074.3333,199145.3333,201162,203195.3333,205346,207622,210263,212938,215101.6667,216904,218516.6667,220124.3333,221240.6667,222468.3333,223942.6667,225858.3333,228085.6667,230195,232040.6667,233847.6667,235885.6667,237969,239303.3333,240523.6667,241811.6667,243525,245018.6667,246365,247387.6667,247988.6667,248672.6667,248730.3333,248831.6667,248371.6667,248470,248686.3333,249032,249523.6667,249726.3333,250056.6667
394492,"Columbus, OH",31,1,81740,81546.5,81667.66667,81433.66667,81622,81702.33333,81852,81574.66667,81065,80676,80348.33333,80065,79661.66667,79374.33333,78551.33333,77867.66667,76802.66667,76322.66667,76185.33333,76516.33333,76911.66667,77118.66667,77322.66667,77541,77771.33333,77957.33333,78035,78113.33333,78295.33333,78256.66667,77947.66667,77403.66667,76996,76652,76044.66667,75876,75838.33333,75945.33333,75660.66667,75033.33333,73957,73058.33333,72452.66667,72320.66667,71887.66667,71210,70609.33333,69775,68784.66667,68063,67849.33333,67938.33333,67796,67374.33333,67035.66667,66842.33333,67035.33333,67370,67439.66667,67380.33333,67155.33333,67207.33333,67459.66667,67975,68563.66667,69050.66667,69394.33333,69405,69632.33333,70008.33333,70884.66667,71409,72137,72371.66667,72740.66667,72981.33333,73269.66667,73625.33333,73979.66667,74314.66667,74478.66667,74334.66667,74365,74725.66667,75325.66667,76024.66667,76481,76569.33333,76695.33333,77013.66667,77610,78183.66667,78504,78783.66667,79036,79435.33333,79729.66667,79887.33333,79990.33333,80530,80895,81400.33333,81415.33333,81716,81796.33333,82225,82612.33333,83175.66667,84067,85136.66667,86248.33333,86994,87854.33333,88710.66667,89510.33333,90149.66667,90841.66667,91624.66667,92551,93239.66667,93294.66667,92877.66667,92975,93652,94952.33333,95902,97046.66667,97959.33333,98723,99406.33333,99903.66667,100479.3333,101247.6667,102087,102797.3333,103445.3333,104103,104656.3333,104863.6667,105126,105968.3333,106865.6667,107595.3333
394355,"Austin, TX",33,1,175918,175342,175365.3333,174961.3333,174842.3333,174007.3333,173529,172745,171249.3333,169351.6667,166763.3333,165304.3333,164063.3333,163513,162328.6667,161171,159988.6667,159506.3333,159001,157925.6667,156737.6667,155975.3333,156535,156797.3333,156539.3333,155978.3333,155843,155743.6667,156062.3333,156167.6667,155929.3333,155536,155066.6667,154591,153672.6667,152719.3333,151991.3333,151472.6667,151059,150835,150261,150186.3333,150105.3333,150700.3333,150816.6667,150606,150221.3333,149968.6667,150421,151250.3333,152417.6667,153585,154719.3333,156075.6667,157186,158180.6667,158792,159243.3333,159367.6667,160322.6667,161268.3333,162739.3333,163830,165988.3333,167960.6667,169592.6667,170713.3333,171521,173203.3333,174985.3333,177263.3333,178452.6667,179682.3333,180525.6667,182030.3333,183363,184978.6667,186057.3333,187130.6667,188330,190318.3333,192303,193978.6667,195194.3333,196424.3333,197702,198871.6667,199484.3333,200267,201382.3333,203737.3333,205720.3333,207358.3333,208581,210428.3333,212624.6667,214570,215737.3333,216629,217276.6667,217971.3333,218597.6667,219454.6667,220419,221702,223819.3333,226185,228088,228577.3333,228879.3333,229672,230926.3333,232007.3333,232400.6667,232703,233425.6667,234769.6667,236136.3333,237455.3333,238466.3333,239501,240272,240979.3333,241231.3333,241545.6667,242642.6667,243838,245514.6667,246240.3333,247749.6667,248243.6667,249373.3333,250833.3333,253029.3333,254231.6667,255020,255388,255818,255763.3333,256099.6667,257323,257922.3333,258838.3333
395012,"Raleigh, NC",46,1,136428,136426.5,136132.6667,135743,135351.3333,135158.6667,135178.6667,135177.3333,135252.6667,135475.6667,135677,135743.3333,135114,134510.6667,133756.6667,133054.6667,132255,131608,131129,130425.6667,130012.3333,129690,129497.3333,129129,128763.3333,128320,127868.3333,127935,128023.6667,128161.6667,127444,126965.3333,125991,125604,125093.3333,124580.6667,123810,122781.3333,121721.6667,119984.6667,118364.3333,117307,116853.6667,116607.6667,116514,116278.3333,115797,115326.6667,114822.3333,114652.3333,114566.6667,115184.3333,115609,115498.6667,115181.3333,115091,114952,114614,114319.6667,114514,114971.6667,115235.6667,115733,116175.3333,117106.6667,117763.3333,118633.3333,118987.3333,119206,119066.6667,119128.3333,118946.3333,119277.3333,119884.6667,120581,120769.6667,120808.6667,120850.3333,121160,121416.3333,122116,122925.6667,124079.6667,124920.3333,125891.6667,126359.6667,126909.6667,127255.3333,127670,128229,128414.6667,129091.3333,129490.3333,130248,130444.3333,130956.3333,131206.3333,131822,132369.6667,133190.6667,133929.6667,135030.6667,136378.3333,137491,138153.6667,138461,138965.3333,139764,140614.3333,141544,142683.6667,143893.3333,144969.3333,145697.3333,146339,146784,147397.3333,148167.6667,149308.3333,150147,150694.3333,151438.6667,152717.3333,154308.6667,156084,157402.6667,158687,160255.3333,162036.3333,163643.3333,164890.6667,166531.6667,168451.3333,170084.6667,170873.3333,171241.3333,171364,171761.6667,172092,172414,173021,173469.3333,173997.6667
