RegionID,RegionName,SizeRank,Bedrooms,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
394913,"New York, NY",1,2,351423,351001,349582.6667,347087,343687,340816,338457.3333,336364.6667,334302,331963.3333,329568.3333,327028,324208.6667,321359.3333,318536.6667,315422,312634.6667,309822.6667,307738.3333,305957.6667,304835,303984,303507.6667,303269.6667,303146.3333,302972.3333,302253.3333,301901.6667,301540,301591,301397.6667,300926,300118.3333,298781.6667,297003,295223,293691.3333,292487.6667,291227,289539.3333,287504.6667,285446,283543,282243.3333,280987.6667,279877.6667,278560.6667,277317.6667,276190,274784,273558.6667,272278.6667,271494.6667,270851.6667,270385,270065.6667,269992,270146,270511.3333,270919,271511.6667,272224.3333,272989,273646.6667,274315.6667,275388.3333,276855.6667,278450.3333,279836.6667,281334.3333,283015,284483.6667,285805.6667,286588,287857.6667,289118.3333,290424.6667,291216.6667,291529.6667,291969.6667,292297.3333,292696,292649,293008.6667,293484.6667,294380.3333,294778.6667,295369.3333,295989,296816,297468,297888.6667,298334,298737,299545.6667,299982,300022,299988,300129.3333,300682,301170.3333,301951.3333,302812.3333,303658.6667,304249.3333,304981.3333,305630.6667,306539,307607.3333,308616.6667,309978,311258,313260.3333,314797.6667,316436.3333,317743,319191.6667,320359.3333,321634.6667,322951.3333,324582.3333,326397.6667,328275,330347,331917.3333,333206,333665.6667,333929,334233.3333,334975.6667,335873.6667,336630.6667,337203.6667,337608.6667,338397.6667,339349.3333,340542.6667,341176.3333,341509.6667,341373,341134.6667,340768,340460
395209,"Washington, DC",7,2,313195,310633.5,308068,303528.6667,298873.6667,294971,291307.6667,288117.6667,284903.6667,281789.3333,278655,275484.6667,271192.3333,266994,263150,260781.6667,259639.3333,258949,258266.6667,257667,256995.3333,256551,256382.6667,256704.6667,257567,257994,258530.6667,259287,260283.6667,260654,260414.6667,259846.6667,259239,258079,256356.3333,255297.6667,254727,254778,253944.6667,253194.6667,252426.3333,252237.6667,251712.6667,251227.3333,250532,249996,249845,249468,249319.6667,249518.3333,250710.3333,251840,252951,254100.6667,255607.6667,256846,257767.3333,259227.3333,260786.3333,262514.6667,264121,265502.6667,267064,268501.6667,270485.3333,272319,274261.3333,276331,278685,280561.3333,282302.3333,283294.3333,284465.3333,285395.3333,286401.3333,286821,286635.6667,286132.3333,286327.3333,286256,286585.3333,286675.6667,287061.3333,287259.6667,286827.3333,287133.3333,287426.6667,287672,287597,287679,287994,288259.6667,288628.3333,289265.3333,289691,290086.6667,290692.6667,290454,290525,290642.6667,291684.6667,292125.6667,292382.6667,292406.6667,292862,293521.3333,294780,296477.3333,298049,299823.3333,300283,300794.3333,300255,300546.3333,300988.3333,302085.6667,303209,304296,305387,305826,306635.6667,307373,308916.3333,309731.3333,310938,311932,313020.6667,313821.6667,314588.6667,315458,316167,317403,318846,320861.6667,322699.6667,324074,324636,324880.6667,325104.3333,326322.3333,327854.3333,329781,331675
394347,"Atlanta, GA",9,2,139291,138497,137859.3333,136824,136026.3333,135221.6667,134176,133144.3333,132121.6667,131012.6667,129306.6667,127298.6667,124961.6667,123064,121158.3333,119521.3333,117856,116638,115707.6667,114805,113973.6667,113093.3333,112455.3333,112066,111233.3333,110393,109323,109075.6667,108649.6667,107949.6667,106396.3333,104847.3333,103376.6667,102310.3333,101105.6667,99824.33333,98408.66667,97274,95880.33333,94247.66667,92160,90331,88967.66667,88367,88095,87784.33333,87330.66667,86474,86061.33333,85489.33333,85633,85596.66667,85902.66667,86250.66667,86743,86946,86777.66667,86726.33333,87092,87754.33333,88569,89448.33333,90541.33333,91676.33333,93035.33333,94465.33333,96041,97740.33333,99536.33333,101133,102430.3333,103691.3333,105003.6667,106369.3333,107424.6667,108233.3333,108891.6667,109495,110356,111128.3333,111909.6667,112575,113339.6667,114147.6667,114998.3333,115679.3333,116470.3333,117310.3333,118548.3333,119700.3333,120530,121177.6667,121810.3333,122448.6667,123205,123936.3333,125108.3333,126309.3333,127692.3333,128920.3333,129831,130522.6667,131010.3333,131569,131822.3333,132597.6667,133629.6667,135238.6667,136581.6667,138002.6667,139201.3333,140286,141360,142748,144334.3333,145613,147092,148373.6667,149913.6667,151577,153265.6667,154998.6667,156345,157760,159188.6667,160763,162435,164000.3333,165554.3333,167036,168399.3333,169544.3333,170818.3333,171912.3333,173110.6667,173987.3333,175012,175458,176084,176678.6667,177461.6667,178010.3333,178565
394404,"Boston, MA",10,2,297785,296040,295124,292644.3333,290461.3333,288010.6667,285993,284308.6667,282699,280822.6667,278741.3333,276313,274135,271788.6667,269432,267345.6667,266137,265516.6667,265268.6667,265368.6667,265905.3333,266502.3333,266913.3333,267565,268261,269327.3333,269771.3333,270098,269800.3333,269709,269239.6667,268880,267726.3333,266913,265874.6667,265608,264916.3333,263606.6667,261819.3333,260267,258930,258128,257013.6667,256171.6667,255022.6667,253984,252909,252017.6667,251050.6667,250653,250818,251186.6667,251533.3333,251530.3333,252182.6667,252808.3333,253699.3333,254918,256501.6667,258303.6667,259069.3333,260833,262981.6667,266188.6667,268689.6667,270488,272281.3333,274391,277091,279454,281130,282243,283421.6667,284552.6667,285941,287565,288975.3333,290473.3333,291618,292795,293320.3333,293568.3333,294012,295649,298021.3333,300378.6667,301882.3333,302423.3333,303414.6667,304546.6667,306521.3333,308130.3333,309485.6667,310910.6667,312083,313153,314711.6667,316385,318414.6667,320197.6667,322353,324183.3333,325393,326499,328417.3333,330222,332655.3333,334363.6667,335985,337414.3333,339225.6667,341765,343927.3333,346221.3333,348658.6667,350184.3333,351968.3333,353267.6667,355765,357547.3333,359770.3333,361916,364832,367070.6667,369071.3333,370608,371767.3333,372749,373235.3333,374429,375299,376531.6667,377681,378534.3333,378606.6667,378190,378119.6667,378802.6667,379147.3333,379669.6667,380560.6667,381534.3333,382498
395057,"San Francisco, CA",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525886,530073.5,535377.3333,543457.3333,551173.6667,558116,566324.3333,575541,582052,589157.6667,592890.6667,597659.6667,598818,600543,602987.6667,607089,611164.3333,615609.6667,621561.3333,627890.6667,632406.6667,635310,640831.6667,646485,655004,663038.3333,672118,682703.3333,693795,703353.6667,708924,714421.3333,723652,732149.3333,735597,737741.3333,739737.3333,743318.6667,741717,740425.3333,738937,743520.3333,747657.3333,754309.3333,758266,763261.3333,767886.3333,772087.3333,777186,782600.6667,790265.6667,796337.3333,804559.6667,811848.3333,822651.6667,832766,843596,851217,861909,872410.6667,882606.6667,889767.3333,894292,899841.6667,901026,900374,894831,884509.6667,877781,875258,876820,878063.3333,879314.3333,880200,881653.6667,880295.3333,880201.3333,877770,877286.6667
395078,"Seattle, WA",15,2,319652,319347.5,318751.3333,315589.6667,311647.3333,307709,305371.3333,302263.3333,298846.3333,295481.3333,292294,288060.3333,284703,281388.3333,278676.6667,273988.3333,270107,266635,264982,263461,262532.3333,262042,261812.6667,261515.3333,260956,260869.3333,260388,260474.3333,260522.3333,259591.6667,257030,253586.3333,250928.3333,247401.3333,243877.3333,240074.3333,237011.3333,234808.3333,231998,229542.6667,225135.6667,221885.6667,218335.3333,216282.3333,214045,211878,209553.3333,207289.3333,205427,203032,202087.3333,202058.3333,203642,205451.6667,207488.6667,209391,211318,213359,215410,217043.3333,217512,217888.6667,218720,221033,224474.6667,227491.6667,230859,234017.6667,237349.3333,239873,241489,243123,245045.3333,247050.3333,248221.6667,249272.6667,250318.3333,252898.3333,254633.6667,256127.6667,256831.3333,258756.6667,260826.3333,263511.3333,266248.6667,268548,270948.6667,273273,276495,279103,281808,285233.3333,288381,291402.6667,294107,297118.3333,299452,301351.3333,303383.3333,306199.3333,309612.6667,313151.6667,316647,319470.6667,321995.6667,324337,327765,332276.6667,336533.6667,341313.6667,345309,350509.6667,355314.3333,360547.3333,365743.6667,370226.3333,373961.3333,378515,382224,387277,392330,399813,406986,412804.3333,415770,416494,415237.3333,414241.6667,414679.6667,414987,414986,414236.6667,414505.6667,414447.6667,414442,413450.6667,412228,410647,410112.6667,410799,411575.6667,412310.6667,414984
394530,"Denver, CO",21,2,186967,186105,185304.6667,184025,182959.3333,182219.3333,181229,180550.6667,179974.6667,179692.6667,178955.6667,178023.6667,176692.6667,175767,175238.6667,175171.3333,175477,175610,175639,175625.3333,175740,175953.3333,176077.6667,176226,176962.6667,177635.6667,178347,178124,177717.6667,176862,176099.3333,175232.6667,174204.3333,173101.6667,172155,171372.3333,170555.3333,169607.6667,168719.6667,168046.6667,166782.6667,165687.6667,164720,164450.6667,164338.3333,164277.6667,164295.3333,164135.6667,164148.6667,164023.3333,164205,164802.6667,166135.3333,167971,170003,171732.3333,173283,174675,176113.6667,177555.6667,179195,180927.6667,182736.6667,184346,186046,187913.3333,190165.6667,192469.3333,194381.6667,195911,197096.3333,198569.6667,199769,201103,201973.6667,203023,204820,206837,209031.6667,210493.6667,212241.3333,214050.6667,216335.6667,218844,221900.3333,225015.3333,228162.6667,231111,233901.3333,236645.3333,239488,242851,246262.6667,249704,252722,255766.3333,258384.6667,261153,263724.3333,266266.6667,268607.6667,270774.6667,273284,275737.6667,278059,280359,282989.3333,285840.3333,288702.3333,291736,294924,297632.3333,299857.6667,301842.3333,303499.6667,304852,306556.3333,308734.6667,311028.6667,313682,316137,318565,320739,323454.3333,326218,328427,330132,331676.6667,333394,335011.6667,336875.6667,338114.6667,339142.6667,340208.6667,340925,341418,340994.6667,340865,340547.6667,340670.3333,340985,341488,342350
394492,"Columbus, OH",32,2,110416,110204,110074,109613.3333,109234.3333,108893,108647.6667,108436,108196.3333,107908,107450.6667,107028,106453.3333,105912.6667,104917,104082.6667,103289.3333,102703.3333,102230.6667,101828,101723.6667,101685.3333,101515.3333,101285.3333,101281.6667,101451.6667,101458.3333,101187.3333,100860.3333,100591.3333,100159,99710.66667,99154.33333,98709,98163.66667,97766.66667,97415.66667,96918.33333,96258,95461,94604.33333,93623.66667,92792.33333,92262.33333,91915.33333,91415,90869.33333,90266.33333,89378.33333,88625.66667,87652,86881,85861.33333,85229.66667,84832.33333,84733,84812.33333,84964.33333,84834.33333,84540.66667,84211.33333,84141,84470,85122.33333,85983,87113,88101.33333,89004.33333,89508.66667,90028.33333,90647.66667,91073.33333,91873,92474.33333,93111.66667,93331,93677.66667,93950.33333,94278.33333,94296,94389,94365.33333,94720,95336.33333,96042.66667,96751.66667,97382.33333,97849,98215.66667,98548.66667,99115.33333,99517.66667,99905.66667,100138.6667,100566.6667,101018.3333,101556,101937,102450.6667,103196.6667,103847,104293,104531.3333,105010.3333,105429,105797,106148.3333,106700,107586.3333,108856,110129.3333,111253.6667,112172.3333,113089.6667,113925.6667,114758,115640,116741.3333,118019.3333,119221.6667,119544,119373.6667,119718.3333,120925.3333,122657.3333,123971,125216.3333,126113.6667,126695,127391.6667,128125.6667,128920,129835,130922,132147,133075.3333,133901.6667,134508.6667,134858.3333,135181,135770.6667,136474,137180
394355,"Austin, TX",34,2,206289,205621,205480.3333,204734.3333,204218,203029,202306,201500.3333,200610.6667,199600.6667,197771.6667,196565.3333,195354.3333,194859.3333,193896.3333,192850,191806,191413.3333,191050.6667,190501,189921,189699.6667,190301,190586.6667,190400.3333,190191,190010.6667,189887.6667,190072.6667,190136.3333,189789.6667,189079,188212.3333,187467,186443.3333,185480,184779,184013,183648.6667,183581,183401.3333,183072.6667,182739.3333,183090.3333,183486.3333,183476.3333,183126,182845.3333,183229,183942.6667,185127.6667,186135.3333,187312,188576.3333,189663.3333,190761.3333,191399,192047.6667,192353.6667,193546,195102.3333,197027.6667,198697.3333,201006,203241.3333,205327.3333,207225.3333,208642.3333,210402.3333,212172,214720,216596.6667,218188.6667,219773.6667,221850,223950.6667,225980.3333,227743.3333,229396.6667,231082.3333,233131,235243,237333,239162.6667,241013.6667,242533,243843.3333,244831,246046.3333,247606.3333,250055.6667,252107,253915.3333,255213.3333,256992.6667,259116.3333,261011.3333,262420.3333,263612.3333,264605,265478.3333,266220.3333,267459.6667,268576.3333,269998.3333,272048.3333,274612.6667,276667,277312.6667,277903.6667,278654.6667,279998,280982.6667,281914.6667,282266.6667,282822.6667,283681.6667,285131.6667,286808.6667,288187.6667,289138.6667,289705,290366.6667,290976.3333,291796.6667,293297,294710,296668.3333,297699.3333,299086.6667,299470.3333,300285,301815,304008.3333,305305.3333,306022.3333,306267.3333,306608,306807.6667,307524.3333,309107,309710.6667,310509.6667
395012,"Raleigh, NC",46,2,131412,131395.5,131125,130849,130586.3333,130620,130717,130875.3333,130836,130881,130759.3333,130671.6667,129883.6667,129263,128561,128157.6667,127764.6667,127438.3333,127185.3333,126750,126584,126676.6667,126816.6667,126709.3333,126602,126231.6667,125999.6667,126064.6667,126178.6667,126128.6667,125435,124903.3333,124167,123662.3333,123051,122518.6667,121877,121105,120154.6667,118807,117488.6667,116585.3333,115961.3333,115513.6667,115196.6667,114867.6667,114448,114072,113575.6667,113341.3333,113336.6667,113956,114184,114010.6667,113686,113704.6667,113591.3333,113333,112955,112886.3333,112983,113297,113788,114403.6667,115361.6667,116113.6667,116918.6667,117357.3333,117836.6667,118148.6667,118536.6667,118573.3333,118782.3333,119082.3333,119566,119748,119708.3333,119683.6667,119887.3333,120070,120402,120783.3333,121594,122314,123126.3333,123488.3333,124042.3333,124311.6667,124812.3333,125226.3333,125640,126279.3333,126995.3333,127880.6667,128396,128982.6667,129683.3333,130657,131052.6667,131414,131790.6667,132925,134253.3333,135434.6667,136302.3333,136784,137494,138405.6667,139599.3333,140706.6667,142183.3333,143479.3333,144697.3333,145449.6667,146145.3333,146728.6667,147463,148503,149739,150873.3333,151793.6667,152559.6667,153499,154489,155956.6667,157021.6667,158221.3333,159580.3333,161102.6667,162296.3333,163211.6667,164356.6667,165796.3333,167252,168164,168748,168958.3333,169545.6667,170173.6667,170703.6667,171342.6667,172065.6667,173107
